NPI Number,Hospital Name,IDN
1013281096,Carl T Hayden VA Medical Center,VA Desert Pacific Healthcare Network (VISN 22)
1568412880,Tucson VA Medical Center,VA Desert Pacific Healthcare Network (VISN 22)
1508815291,Fresno VA Medical Center,VA Sierra Pacific Network (VISN 21)
1245289610,West Haven VA Medical Center,VA New England Healthcare System (VISN 1)
1407805898,Wilmington VA Medical Center,VA Healthcare - VISN 4 (FKA VA Stars & Stripes Healthcare Network)
1336198704,Washington DC VA Medical Center,VA Capitol Health Care Network (VISN 5)
1063462000,Malcom Randall Department of Veterans Affairs Medical Center,VA Sunshine Healthcare Network (VISN 8)
1861441867,Boise VA Medical Center,VA Northwest Health Network (VISN 20)
1346537412,Overton Brooks VA Medical Center,VA South Central VA Health Care Network (VISN 16)
1396792032,Merit Health River Oaks (FKA River Oaks Hospital - Jackson),Merit Health
1447201983,Harry S Truman Memorial Veterans Hospital,VA Heartland Network (VISN 15)
1013966118,Raymond G Murphy Department of Veterans Affairs Medical Center,VA Desert Pacific Healthcare Network (VISN 22)
1972945947,Albany Stratton VA Medical Center (AKA Samuel S Stratton Department of Veterans Affairs Medical Center),VA New York/New Jersey VA Health Care Network - VISN 2 (FKA VA Health Care Upstate New York)
1316996630,James J Peters VA Medical Center,VA New York/New Jersey VA Health Care Network - VISN 2 (FKA VA Health Care Upstate New York)
1437100971,Fargo VA Medical Center,VA Midwest Health Care Network (VISN 23)
1174572549,Roseburg VA Medical Center,VA Northwest Health Network (VISN 20)
1730335613,Pittsburgh VA Medical Center - University Drive,VA Healthcare - VISN 4 (FKA VA Stars & Stripes Healthcare Network)
1942391230,Prattville Baptist Hospital,Baptist Health (AL)
1447303227,Thomas Hospital,Infirmary Health System
1134164924,North Baldwin Infirmary,Infirmary Health System
1730692641,Medical Center Barbour,Alliant Management Services
1255376828,Bibb Medical Center,
1184967523,St Vincents Blount,Ascension St Vincents Health System
1992812382,Bullock County Hospital,
1477562783,Georgiana Medical Center (Closed),Ivy Creek Healthcare
1780655332,Regional Medical Center of Central Alabama (FKA LV Stabler Memorial Hospital),UAB Medicine (AKA UAB Health System)
1265483267,Regional Medical Center - Jacksonville (Closed),Northeast Alabama Regional Medical Center Health System (AKA RMC)
1215976675,Stringfellow Memorial Hospital (AKA Stringfellow Campus of Northeast Alabama Regional Medical Center),Northeast Alabama Regional Medical Center Health System (AKA RMC)
1003996000,RMC Anniston (FKA Northeast Alabama Regional Medical Center - Anniston),Northeast Alabama Regional Medical Center Health System (AKA RMC)
1780235002,East Alabama Medical Center - Lanier,East Alabama Health (FKA East Alabama Medical Center Health System)
1962999664,Atrium Health Floyd Cherokee Medical Center,Atrium Health Floyd (FKA Floyd Healthcare Management Inc)
1659387082,Chilton Medical Center (Closed 2012-10-01),
1336139401,Southwest Alabama Medical Center (Closed),
1386694487,Grove Hill Memorial Hospital,
1952427874,Jackson Medical Center,Gilliard Health Services
1477551554,Clay County Hospital,
1114904968,Elba General Hospital (Closed 2013-02-01),
1720039712,Medical Center Enterprise,Community Health Systems (AKA CHS)
1699096552,North Alabama Shoals Hospital (FKA Shoals Hospital),LifePoint Health (FKA LifePoint Hospitals)
1891770368,Evergreen Medical Center,Gilliard Health Services
1821078494,Andalusia Regional Hospital (AKA Andalusia Health),ScionHealth
1013937705,Mizell Memorial Hospital,Alliant Management Services
1235214768,Florala Memorial Hospital (Closed 2013-12-01),
1750480406,Crenshaw Community Hospital,Alliant Management Services
1114919339,Cullman Regional Medical Center,
1942380357,Dale Medical Center,
1871655993,Vaughan Regional Medical Center,ScionHealth
1710901178,Dekalb Regional Medical Center,Quorum Health Corporation
1730120726,Community Hospital,
1588795942,Elmore Community Hospital,Ivy Creek Healthcare
1609811538,DW McMillan Memorial Hospital,
1124073879,Atmore Community Hospital,
1225081516,Gadsden Regional Medical Center,Community Health Systems (AKA CHS)
1992103857,Riverview Regional Medical Center,Prime Healthcare Services
1851323836,Fayette Medical Center (FKA Weimer Medical Center),DCH Health System
1316015241,Russellville Hospital,
1073601043,Red Bay Hospital,Helen Keller Hospital Health System (FKA Northwest Alabama Health Care Authority)
1992755292,Wiregrass Medical Center,
1588779920,Greene County Hospital,
1225068935,Hale County Hospital,
1801830500,Flowers Hospital,Community Health Systems (AKA CHS)
1164403861,Southeast Health Medical Center (FKA Southeast Alabama Medical Center),
1659473916,Highlands Medical Center,Huntsville Hospital Health System
1841298999,Ascension St Vincents Birmingham,Ascension St Vincents Health System
1144312430,Princeton Baptist Medical Center,Brookwood Baptist Health (FKA Baptist Health System Birmingham AL)
1023061405,Grandview Medical Center (FKA Trinity Medical Center),Community Health Systems (AKA CHS)
1841308020,St Vincents East (FKA Medical Center East),Ascension St Vincents Health System
1578809430,UAB Callahan Eye Hospital,UAB Medicine (AKA UAB Health System)
1508952235,Helen Keller Hospital,Helen Keller Hospital Health System (FKA Northwest Alabama Health Care Authority)
1740652346,UAB Hospital,UAB Medicine (AKA UAB Health System)
1790896710,Medical West Hospital,UAB Medicine (AKA UAB Health System)
1043269046,Birmingham VA Medical Center,VA Southeast Network (VISN 7)
1467469502,Cooper Green Mercy Hospital (Closed 2013-01-01 - Now Outpatient Clinic),
1659313906,Brookwood Baptist Medical Center (FKA Brookwood Medical Center),Brookwood Baptist Health (FKA Baptist Health System Birmingham AL)
1508805581,UAB Hospital-Highlands,UAB Medicine (AKA UAB Health System)
1477874337,North Alabama Medical Center (FKA Eliza Coffee Memorial Hospital),LifePoint Health (FKA LifePoint Hospitals)
1568453389,Lawrence Medical Center,Huntsville Hospital Health System
1154386431,East Alabama Medical Center - Opelika,East Alabama Health (FKA East Alabama Medical Center Health System)
1144695081,Athens-Limestone Hospital,Huntsville Hospital Health System
1447221056,Huntsville Hospital,Huntsville Hospital Health System
1023061496,Crestwood Medical Center,Community Health Systems (AKA CHS)
1588690085,Whitfield Regional Hospital (FKA Bryan W Whitfield Memorial Hospital),UAB Medicine (AKA UAB Health System)
1750495941,Northwest Regional Health (FKA Northwest Medical Center),UAB Medicine (AKA UAB Health System)
1932160082,North Mississippi Medical Center - Hamilton,North Mississippi Health Services
1508934217,Marshall Medical Center North,Marshall Medical Centers
1306914882,Marshall Medical Center South,Marshall Medical Centers
1154435824,USA Health University Hospital (FKA University of South Alabama Medical Center),USA Health (AKA University of South Alabama Health System)
1952390643,Providence Hospital,USA Health (AKA University of South Alabama Health System)
1558364802,Mobile Infirmary,Infirmary Health System
1003814971,Springhill Medical Center,
1023055191,USA Childrens & Womens Hospital,USA Health (AKA University of South Alabama Health System)
1437160157,Infirmary West (Closed 2012-10-01),Infirmary Health System
1457392904,Monroe County Hospital,
1104917780,Baptist Medical Center East,Baptist Health (AL)
1174573547,Central Alabama VA Medical Center - Montgomery (FKA Central Alabama VA Medical Center - West Campus),VA Southeast Network (VISN 7)
1700977105,Baptist Medical Center South,Baptist Health (AL)
1043262488,Jackson Hospital,
1851362073,Hartselle Medical Center (Closed 2012-01-31),LifePoint Health (FKA LifePoint Hospitals)
1356692297,Decatur Morgan Hospital - Decatur Campus (FKA Decatur General Hospital),Huntsville Hospital Health System
1285904276,Decatur Morgan Hospital - Parkway Campus,Huntsville Hospital Health System
1720331481,Pickens County Medical Center (Closed),
1770814626,Troy Regional Medical Center,
1275591992,Randolph Medical Center (Closed 2011-03-01),
1306885728,Wedowee Hospital (Closed),
1023050101,Jack Hughston Memorial Hospital,
1992809305,St Vincents St Clair,Ascension St Vincents Health System
1053403220,Shelby Baptist Medical Center,Brookwood Baptist Health (FKA Baptist Health System Birmingham AL)
1891801718,Hill Hospital of Sumter County,
1972527265,Coosa Valley Medical Center,
1629166194,Citizens Baptist Medical Center,Brookwood Baptist Health (FKA Baptist Health System Birmingham AL)
1598783904,Lake Martin Community Hospital,Ivy Creek Healthcare
1811913460,Russell Medical Center,UAB Medicine (AKA UAB Health System)
1841394418,DCH Regional Medical Center,DCH Health System
1801846126,Tuscaloosa VA Medical Center,VA Southeast Network (VISN 7)
1760586325,Northport Medical Center,DCH Health System
1497843940,Walker Baptist Medical Center,Brookwood Baptist Health (FKA Baptist Health System Birmingham AL)
1487699203,Washington County Hospital,
1477520526,J Paul Jones Hospital,UAB Medicine (AKA UAB Health System)
1275600967,Lakeland Community Hospital,
1053363119,Providence Alaska Medical Center,Providence Health & Services - Alaska
1952348047,Alaska Regional Hospital,HCA Mountain Division
1437368891,Alaska Native Medical Center,Alaska Area Native Health Service
1063567691,Yukon-Kuskokwim Delta Regional Hospital,Alaska Area Native Health Service
1184674509,Maine VA Medical Center (AKA Togus VA Medical Center),VA New England Healthcare System (VISN 1)
1720537178,Fairbanks Memorial Hospital,Foundation Health Partners
1891849261,Bartlett Regional Hospital,
1528062429,Central Peninsula Hospital,
1396858155,Providence Seward Medical & Care Center,Providence Health & Services - Alaska
1093968372,South Peninsula Hospital,
1396705539,PeaceHealth Ketchikan Medical Center,PeaceHealth
1083663157,Baltimore VA Medical Center,VA Capitol Health Care Network (VISN 5)
1013905660,Providence Kodiak Island Medical Center,Providence Health & Services - Alaska
1417975061,Mat-Su Regional Medical Center,Community Health Systems (AKA CHS)
1225101041,Norton Sound Regional Hospital,Alaska Area Native Health Service
1770581084,Sitka Community Hospital (Closed),
1720062524,Mt Edgecumbe Hospital,Southeast Alaska Regional Health Consortium (AKA SEARHC)
1700364627,Wrangell Medical Center,Southeast Alaska Regional Health Consortium (AKA SEARHC)
1780634162,Edward P Boland Department of Veterans Affairs Medical Center (FKA Northampton VA Medical Center),VA New England Healthcare System (VISN 1)
1568412617,Edith Nourse Rogers Memorial Veterans Hospital,VA New England Healthcare System (VISN 1)
1477876639,Tsehootsooi Medical Center (AKA Fort Defiance Indian Hospital),
1508800129,Chinle Comprehensive Health Care Facility,Navajo Area Indian Health Service
1477735777,Sage Memorial Hospital,
1699766592,White Mountain Regional Medical Center,
1518968767,Copper Queen Community Hospital,
1336118322,Benson Health,
1013060367,Northern Cochise Community Hospital,
1427228212,Cochise Regional Hospital (FKA Southeast Arizona Medical Center - Closed),
1194766543,Canyon Vista Medical Center (FKA Sierra Vista Regional Health Center),LifePoint Health (FKA LifePoint Hospitals)
1780635078,Flagstaff Medical Center,Northern Arizona Healthcare
1578515789,Page Hospital,Banner Health
1548294424,Tuba City Regional Health Care,
1265813075,San Carlos Apache Healthcare (FKA PHS Indian Hospital - San Carlos),
1871566521,Cobre Valley Regional Medical Center,
